314,MEKALA SUMAN,Dharma Samaj Party,3972,66,4038,S2915
315,AR NENA PREM READY RIPEEKA,Mana Telangana Rashtra Samaikya Party,3625,9,3634,S2915
316,KOYYADA NARESH,Independent,3283,3,3286,S2915
317,PRAMEELA JANNU,Independent,3022,0,3022,S2915
318,BARIGELA SHIVA,Independent,2947,2,2949,S2915
319,S P K  SAGAR,Jai Maha Bharath Party,2769,4,2773,S2915
320,PASULA RAVI,Republican Party of India (Athawale),2220,19,2239,S2915
321,DEVARAJU PENDELA,Rashtriya Praja Congress  (Secular),2072,11,2083,S2915
322,POTHARAJU NARASIMHARAJU,Independent,1955,0,1955,S2915
323,BOLLAM VIJAY KUMAR,Independent,1821,4,1825,S2915
324,MACHA DEVENDER,Viduthalai Chiruthaigal Katchi,1753,16,1769,S2915
325,ROOPA POLEPAKA,Independent,1657,2,1659,S2915
326,NARMADA PRAVEEN,Pyramid Party of India,1657,7,1664,S2915
327,DHAYAKAR GAJJI,Independent,1637,1,1638,S2915
328,POGULA ASHOK,Independent,1333,4,1337,S2915
329,THANDRA ESHWAR,Independent,1290,2,1292,S2915
330,MANDA NARESH,Independent,1044,7,1051,S2915
331,KOTHAPALLI SAVITHRI,Marxist Communist Party of India (United),1018,5,1023,S2915
332,PUTTA VINOD KUMAR,Independent,908,1,909,S2915
333,BOCHU RAJU,Independent,905,8,913,S2915
334,PAITHARA ACHYUTH,Independent,901,5,906,S2915
335,MANGALAPELLI ASHAIAH,Independent,847,0,847,S2915
336,GADDAM CHIRANJEEVI,Independent,825,1,826,S2915
337,MOTHKUPELLY PRABHAKAR,Independent,818,1,819,S2915
338,GANNARAPU RAVINDER,Independent,752,0,752,S2915
339,GANIPAKA PRADEEP,Independent,710,3,713,S2915
340,RAMESH BABU SHANIGARAPU,Independent,658,4,662,S2915
341,Dr GADAM MALLESH,Jai Bharat National Party,563,4,567,S2915
342,THALLAPALLY VENKATAIAH,Independent,538,0,538,S2915
343,BASHIPAKA SUDHAKAR,Independent,503,2,505,S2915
344,RK GANAPURAM,Independent,468,6,474,S2915
345,CHILUVERU PRATHAP,Independent,399,2,401,S2915
346,THATIKAYALA SATHISH BABU,Independent,382,2,384,S2915
347,CHILUMULLA SUJATHA,Independent,377,2,379,S2915
348,NOTA,None of the Above,8209,171,8380,S2915
349,KALI CHARAN SINGH,Bharatiya Janata Party,568912,5644,574556,S274
350,KRISHNA NAND TRIPATHI,Indian National Congress,348110,5487,353597,S274
351,AMIT KUMAR SINGH,Independent,31976,15,31991,S274
352,ARJUN KUMAR,Communist Party of India,14062,60,14122,S274
353,DR. ABHISHEK KUMAR SINGH,Independent,14038,68,14106,S274
354,ARJUN PRAJAPATI,Independent,13320,8,13328,S274
355,DEEPAK KUMAR GUPTA,Independent,12384,182,12566,S274
356,NAGMANI,Bahujan Samaj Party,11798,152,11950,S274
357,CHANDAN KUMAR,Independent,6569,13,6582,S274
358,MD ABUZAR KHAN,Independent,5820,3,5823,S274
359,YOGESH KUMAR SINGH,Independent,5110,2,5112,S274
360,BIMAL LAKRA,Ambedkarite Party of India,4983,31,5014,S274
361,KARMLAL ORAON,Peoples Party of India (Democratic),3968,42,4010,S274
362,SUMIT KUMAR YADAV,Samata Party,3499,17,3516,S274
363,SANJAY KUMAR SNEHI,Lokhit Adhikar Party,3202,14,3216,S274
364,MAHESH BANDO,Bahujan Mukti Party,3159,42,3201,S274
365,SRIRAM SINGH,Independent,2991,2,2993,S274
366,DARSHAN GANJHU,Jharkhand Party,2780,37,2817,S274
367,DULESHWAR SAW,Bharatheeya Jawan Kisan Party,2376,9,2385,S274
368,LAW KUMAR PANDIT,Bhagidari Party(P),2372,8,2380,S274
369,KAMDEO DIHO RANA,Rashtriya Jan Utkarsh Party,2297,12,2309,S274
370,VIKRANT KUMAR SINGH,Independent,2288,1,2289,S274
371,NOTA,None of the Above,8435,76,8511,S274
372,JAGANNATH SARKAR,Bharatiya Janata Party,778046,4350,782396,S2513
373,MUKUT MANI ADHIKARI,All India Trinamool Congress,592276,3221,595497,S2513
374,ALAKESH DAS,Communist Party of India  (Marxist),122970,840,123810,S2513
375,BIPLAB BISWAS,Bahujan Samaj Party,9319,73,9392,S2513
376,PARESH HALDAR,Socialist Unity Centre Of India (COMMUNIST),8223,16,8239,S2513
377,JAGANNATH SARKAR,Independent,5831,30,5861,S2513
378,SHYAMAL KUMAR MALLICK,Independent,5533,11,5544,S2513
379,NOTA,None of the Above,9798,95,9893,S2513
380,THARANIVENTHAN M S,Dravida Munnetra Kazhagam,497083,3016,500099,S2212
381,"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,289650,1683,291333,S2212
382,DR GANESH KUMAR A ME PHD,Pattali Makkal Katchi,234538,2033,236571,S2212
383,"BAKIYALAKSHMI, K.",Naam Tamilar Katchi,65981,759,66740,S2212
384,"MANIGANDAN, V.",Independent,4787,21,4808,S2212
385,"GANESH KUMAR, U.",Independent,3809,3,3812,S2212
